"Protein","term","estimate","std.error","statistic","p.value"
"NY-ESO-1","CancerTypeLGD",-3.45647536312684,3.53837702669953,-0.976853324856371,0.328878020998979
"NY-ESO-1","CancerTypeHGD",-10.8877670982065,3.29987305786353,-3.29945028408326,0.0010029378689785
"NY-ESO-1","CancerTypeIC",-0.912166135914271,3.50811846053202,-0.260015773747828,0.794905130892878
"OX40L","(Intercept)",129.21476835819,10.3697285346901,12.460766733278,3.11171414161566e-33
"OX40L","CancerTypeIM",-17.9205502157108,16.1912484563876,-1.10680472009192,0.26864453793546
"OX40L","CancerTypeLGD",-34.7992726248227,14.6464825997472,-2.37594742545376,0.0176915299838438
"OX40L","CancerTypeHGD",-35.1010987708465,13.65923782533,-2.56976994029302,0.0103205072743735
"OX40L","CancerTypeIC",-4.23399758726072,14.5212326448889,-0.291572877509884,0.770673685935374
"PD-1","(Intercept)",99.678019484616,4.4945598288081,22.1774819517865,6.03499876014365e-89
"PD-1","CancerTypeIM",-23.0094458995325,7.01778591858823,-3.27873294604025,0.00107868980839328
"PD-1","CancerTypeLGD",-18.498002676124,6.34823680349392,-2.91388038107576,0.00364916559344784
"PD-1","CancerTypeHGD",-26.3693628121852,5.92033450215089,-4.4540325893081,9.3766413305348e-06
"PD-1","CancerTypeIC",10.8335747604472,6.29394961422151,1.72126811056258,0.0855114726552616
"PD-L1","(Intercept)",20.4876172093611,1.15312858402343,17.7669840928554,1.37292857746798e-61
"PD-L1","CancerTypeIM",-2.10766603476896,1.80048989167137,-1.17060698008831,0.242035672210461
"PD-L1","CancerTypeLGD",-2.47878049428174,1.62870972800013,-1.52192895496818,0.128343017494762
"PD-L1","CancerTypeHGD",-4.64383751975116,1.51892670282258,-3.05731508381653,0.00229264722523717
"PD-L1","CancerTypeIC",7.96833460139293,1.61478175460993,4.93462016067786,9.40259197561282e-07
"PD-L2","(Intercept)",16.2829610742144,1.32685583629656,12.2718389057717,2.39187577451809e-32
"PD-L2","CancerTypeIM",-0.14832315151163,2.07174685811845,-0.0715932793286996,0.942939904123922
"PD-L2","CancerTypeLGD",3.759755065322,1.87408675682091,2.00617983753315,0.0451059773443101
"PD-L2","CancerTypeHGD",-1.9103789523175,1.74776411622269,-1.09304163793353,0.274638758104704
"PD-L2","CancerTypeIC",1.3435603978047,1.85806043240521,0.723098331126662,0.469788563842715
"PR","(Intercept)",31.6654930640338,1.51496217870143,20.9018373588549,8.87347004035161e-81
"PR","CancerTypeIM",-0.730848338887885,2.3654552725587,-0.308967304250623,0.757410756114696
"PR","CancerTypeLGD",-0.328608585548846,2.13977319805401,-0.153571689676128,0.877978444519739
"PR","CancerTypeHGD",-6.22295540458435,1.99554198801226,-3.1184286985527,0.0018701767626923
"PR","CancerTypeIC",-1.74350313165687,2.12147484589757,-0.82183540145592,0.411366480125994
"PTEN","(Intercept)",69.4489351638959,3.02765211825807,22.9382149769085,6.79166292240634e-94
"PTEN","CancerTypeIM",-1.01409470375037,4.72736268092572,-0.214515951535115,0.830188464019232
"PTEN","CancerTypeLGD",-3.80967675738287,4.27633702462009,-0.890873833247819,0.373211146435958
"PTEN","CancerTypeHGD",-9.20146923966341,3.98809093191822,-2.30723656926188,0.0212451571138564
"PTEN","CancerTypeIC",-3.52643711772755,4.23976776536997,-0.831752424397196,0.40574726986067
"PanCk","(Intercept)",7589.76633307175,536.07047116218,14.1581503577644,1.30539170766529e-41
"PanCk","CancerTypeIM",-1719.72344779317,837.018072332691,-2.05458341299664,0.0401786784813849
"PanCk","CancerTypeLGD",-3026.22815132276,757.1603057736,-3.99681299752082,6.89169928319213e-05
"PanCk","CancerTypeHGD",-4822.27908374033,706.123986972794,-6.8292242902182,1.47980044027576e-11
"PanCk","CancerTypeIC",-3376.65071812098,750.685420525705,-4.49809017971378,7.66021406584572e-06
"S100B","(Intercept)",400.865329099416,46.3202738564257,8.65420896132734,1.9570066999302e-17
"S100B","CancerTypeIM",76.1348194322591,72.3242715629793,1.05268698580616,0.292738769750315
"S100B","CancerTypeLGD",-117.775202105027,65.4239966633747,-1.80018354291339,0.0721329409823828
"S100B","CancerTypeHGD",-194.424494298205,61.0140983558778,-3.18655031439098,0.00148442374838274
"S100B","CancerTypeIC",-166.374758432189,64.8645208593424,-2.5649577955408,0.0104637746540579
"SMA","(Intercept)",34938.0049175093,2768.18383700965,12.6212733599555,5.405998098917e-34
"SMA","CancerTypeIM",-8941.64329749503,4322.23004951778,-2.06875691368918,0.0388254394230651
"SMA","CancerTypeLGD",-7482.92617306039,3909.85706771687,-1.91386182242973,0.0559230379781857
"SMA","CancerTypeHGD",-9916.41621556237,3646.31352184952,-2.71957311299234,0.00664989504134365
"SMA","CancerTypeIC",6626.66931071984,3876.421775803,1.70948098374747,0.08767213367137
"STING","(Intercept)",594.301764381564,56.8678227443202,10.450580586733,2.47469380162135e-24
"STING","CancerTypeIM",-148.514576729835,88.7931679355784,-1.67259013483544,0.0947208074715655
"STING","CancerTypeLGD",-73.6885441299293,80.321637497436,-0.917418349847282,0.359144663623915
"STING","CancerTypeHGD",-4.9318797182401,74.9075651184917,-0.0658395411790339,0.947518735016078
"STING","CancerTypeIC",177.652284635357,79.6347639493205,2.2308383402557,0.0259129705611169
"Tim-3","(Intercept)",152.631929465079,8.03311914648787,19.0003318364586,5.7244591022314e-69
"Tim-3","CancerTypeIM",-3.78582831215545,12.5428768501929,-0.301830940172009,0.762843701236849
"Tim-3","CancerTypeLGD",-26.4295445279505,11.3461928542421,-2.32937557711873,0.0200375600275076
"Tim-3","CancerTypeHGD",-51.9315647759223,10.5814037979895,-4.90781429074557,1.07480538126062e-06
"Tim-3","CancerTypeIC",-23.9819759637034,11.2491654530808,-2.13188934447892,0.0332591540293356
"VISTA","(Intercept)",112.188598241247,8.01115405027301,14.0040495460731,8.05569008906519e-41
"VISTA","CancerTypeIM",-21.1658437089136,12.5085806457172,-1.69210594778078,0.090937301970502
"VISTA","CancerTypeLGD",-7.08092833876037,11.3151687634535,-0.625790784635118,0.531594972410058
"VISTA","CancerTypeHGD",4.80872052311003,10.5524708831064,0.455696165985957,0.648707412703614
"VISTA","CancerTypeIC",55.5054980075725,11.2184066659885,4.94771669989926,8.80579835804038e-07
